model_name,model_type,training_data,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human,uniqua_accuracy,uniqua_resize_accuracy,uniqua_padded_accuracy,uniqua_truncated_accuracy,uniqua_crop_square_accuracy,model_input_sizes
dpn131.mx_in1k,CNN,ImageNet 1k,79.814,51.61122661,61.43637783,45.74468085,57.44680851,52.5911708253359,67.42788461538461,59.25480769230769,62.13942307692308,63.22115384615385,224.0
dpn68.mx_in1k,CNN,ImageNet 1k,76.346,51.42931393,58.19672131,51.06382979,61.70212766,52.783109404990405,48.55769230769231,53.72596153846154,59.85576923076923,61.05769230769231,224.0
dpn68b.mx_in1k,CNN,ImageNet 1k,77.518,49.22037422,66.66666667,56.38297872,58.5106383,51.0556621880998,56.25,54.92788461538461,59.97596153846154,63.94230769230769,224.0
dpn92.mx_in1k,CNN,ImageNet 1k,80.038,50.36382536,62.76346604,57.44680851,58.5106383,53.16698656429942,63.70192307692308,64.42307692307692,65.5048076923077,71.875,224.0
dpn98.mx_in1k,CNN,ImageNet 1k,79.67,49.76611227,61.67056987,47.87234043,61.70212766,53.35892514395394,63.94230769230769,60.21634615384615,63.82211538461539,64.90384615384616,224.0
efficientformer_l1.snap_dist_in1k,Transformer,ImageNet 1k,80.498,49.74012474,67.75956284,55.31914894,65.95744681,50.09596928982726,51.44230769230769,55.04807692307692,0.0,57.93269230769231,224.0
efficientformer_l3.snap_dist_in1k,Transformer,ImageNet 1k,82.548,49.79209979,68.85245902,47.87234043,55.31914894,51.24760076775432,50.0,51.32211538461539,0.0,54.80769230769231,224.0
efficientformer_l7.snap_dist_in1k,Transformer,ImageNet 1k,83.382,51.09147609,65.6518345,56.38297872,58.5106383,53.35892514395394,55.88942307692308,53.00480769230769,0.0,55.04807692307692,224.0
efficientformerv2_l.snap_dist_in1k,Transformer,ImageNet 1k,83.632,50.28586279,68.65729899,50.0,57.44680851,53.55086372360845,57.45192307692308,52.52403846153846,0.0,46.875,224.0
efficientformerv2_s0.snap_dist_in1k,Transformer,ImageNet 1k,76.114,51.48128898,65.69086651,54.25531915,57.44680851,56.81381957773512,53.72596153846154,55.76923076923077,0.0,49.75961538461539,224.0
efficientformerv2_s1.snap_dist_in1k,Transformer,ImageNet 1k,79.692,50.15592516,65.76893052,55.31914894,58.5106383,53.16698656429942,52.64423076923077,53.00480769230769,0.0,55.28846153846154,224.0
efficientformerv2_s2.snap_dist_in1k,Transformer,ImageNet 1k,82.166,51.01351351,65.49570648,57.44680851,50.0,51.24760076775432,52.52403846153846,50.84134615384615,0.0,52.40384615384615,224.0
efficientnet_b0.ra_in1k,CNN,ImageNet 1k,77.694,50.46777547,68.22794692,55.31914894,63.82978723,48.75239923224568,61.89903846153846,62.98076923076923,65.02403846153847,52.64423076923077,224.0
efficientnet_es_pruned.in1k,CNN,ImageNet 1k,75.006,51.8970894,65.14441842,51.06382979,63.82978723,55.66218809980806,61.89903846153846,63.22115384615385,63.46153846153846,66.34615384615384,224.0
efficientnet_es.ra_in1k,CNN,ImageNet 1k,78.058,50.57172557,65.10538642,54.25531915,53.19148936,48.75239923224568,64.90384615384616,62.13942307692308,59.85576923076923,49.51923076923077,224.0
efficientnet_lite0.ra_in1k,CNN,ImageNet 1k,75.482,50.75363825,63.7392662,51.06382979,69.14893617,54.89443378119002,62.98076923076923,60.45673076923077,59.61538461538461,57.93269230769231,224.0
focalnet_base_srf.ms_in1k,Transformer,ImageNet 1k,83.82,51.09147609,68.42310695,55.31914894,59.57446809,54.31861804222648,63.82211538461539,52.76442307692308,57.8125,63.22115384615385,224.0
focalnet_small_srf.ms_in1k,Transformer,ImageNet 1k,83.416,50.88357588,67.01795472,58.5106383,51.06382979,52.39923224568138,53.00480769230769,57.45192307692308,58.05288461538461,62.25961538461539,224.0
focalnet_tiny_srf.ms_in1k,Transformer,ImageNet 1k,82.138,51.32536383,66.93989071,55.31914894,53.19148936,51.24760076775432,51.20192307692308,59.97596153846154,58.41346153846154,60.57692307692308,224.0
focalnet_base_lrf.ms_in1k,Transformer,ImageNet 1k,83.838,51.61122661,68.85245902,57.44680851,61.70212766,52.5911708253359,59.01442307692308,54.56730769230769,54.92788461538461,56.73076923076923,224.0
focalnet_small_lrf.ms_in1k,Transformer,ImageNet 1k,83.494,50.93555094,66.62763466,51.06382979,56.38297872,50.47984644913628,60.21634615384615,50.36057692307692,60.81730769230769,56.25,224.0
focalnet_tiny_lrf.ms_in1k,Transformer,ImageNet 1k,82.154,50.28586279,68.85245902,51.06382979,59.57446809,50.8637236084453,59.73557692307692,52.64423076923077,58.53365384615385,63.22115384615385,224.0
hrnet_w18_small_v2.ms_in1k,CNN,ImageNet 1k,75.11,50.54573805,67.21311475,53.19148936,67.0212766,56.81381957773512,66.94711538461539,63.94230769230769,0.0,67.78846153846153,224.0
hrnet_w18_small.ms_in1k,CNN,ImageNet 1k,72.336,50.54573805,62.80249805,43.61702128,68.08510638,54.12667946257198,66.82692307692308,66.82692307692308,0.0,55.76923076923077,224.0
hrnet_w18.ms_in1k,CNN,ImageNet 1k,76.752,50.54573805,66.15925059,51.06382979,61.70212766,55.08637236084453,60.81730769230769,60.33653846153846,0.0,67.3076923076923,224.0
hrnet_w30.ms_in1k,CNN,ImageNet 1k,78.196,49.32432432,64.79313037,53.19148936,69.14893617,57.77351247600768,66.10576923076923,56.49038461538461,0.0,68.26923076923077,224.0
